S03193	Oldenburg Dannau	\N	54.297	10.854	Germany	LA 77: the neolithic settlement site Oldenburg LA 77 is located on an elevation of the western Oldenburg rift valley, and has been investigated in six trenches, all of them displaying a concentration of finds and features on the southern side of the sloping area; particularly remarkable is the fact that the site contains terrestrial as well as wetland features and due to the exceedingly good preservation of organic material i.e., wooden stakes or posts (reference: online pdf, see site description .doc); archaeobotany: data taken from Kirleis  et al. 2011 in which several sites are described (i.e., specific details for Oldenburg aren't given) but Kirleis states that in general a standard sample size of about 10 l of sediment was taken; flotation was used with a mesh size of 0.3 mm; in her table 2 she lists taxa present in the 15 recently examined sites (incl ODLA77) with totals counts but not ubiquities; for Oldenburg she records that 19 samples (total volume: 93 litres) were analysed; very few ID notes in text; in the general discussion Kirleis notes that settlements show the highest concentrations of plant materials with up to 109 remains/10 l (all remains are charred): LA 191: in 1979 and 1980 part of a well-known Neolithic settlement site was investigated on island-like hills in the valley of the Oldenburger Graben; the first trial excavation took place in 1969 on the shore area of the former settlement (Hoika 1981); only one part of the site projects slightly beyond the sea, the rest was lying under water until construction of a drainage pump station 50 years ago - so preservation conditions at the site are good; the site is still under permanent pasture and large parts of the settlement area were apparently never ploughed; in 1979-80 there were extensions to the north side in area A and about 100 m2 could be studied and on the south side (Area B) a ditch profile of 46 m length was dug (see Hoika 1981, Fig. 1); remains of houses (bordered with post-holes) with internal stone lined hearths were found; extensive documentation of a layer of red burned clay was first discovered in the southern part of Area A (Fig. 2: A 1, 21, 31) and further concentrations of the red clay were uncovered in other parts of this area (A 22, 23, 24, 25, 32, 33); a horseshoe-shaped band extensively distributed with this red clay was also found (Fig. 3) and within which was a deposit of charred plant remains; everything indicates that this part of the settlement was destroyed by fire and the horseshoe-shaped band red clay could be interpreted as the collapsed wall of a straw building; a second very thin layer of charcoal and a further red layer of clay were uncovered that correspond to a second building and fire phase; archaeobotany: 10 samples - each about a large bucket of source material (e.g., c.10 litres) from the most promising, most charcoal excavated areas were taken (all from Area A, see Hoika 1981 p56, Fig.2/3 for exact locations); these were washed on a 0.2 mm mesh and then put through a stack of sieves (5.0 to 0.2 mm mesh sizes) for sorting; the samples comprised largely charred remains but there were also some waterlogged taxa; a majority of taxa not preserved by charring are wet-loving species (e.g. non economic plants); in the d/base I've been consistent with other sites and entered all charred remains+ waterlogged taxa (e.g. fruits&nuts etc.) which had obviously been deliberately collected and brought to the site (e.g. Corylus, Fragaria, Malus, etc.); if a taxon is preserved by charring & waterlogging the ubiquity & total no relate to the former	\N	\N	2023-04-21 12:18:41	adrian@macelab-server.biochem.ucl.ac.uk
S20722	Kakucs-Balla-domb	\N	47.238	19.317	Hungary	\N	2024-10-25 17:21:09	jan@localhost	2024-10-25 17:21:09	jan@localhost
S02750	LES FONTINETTES	\N	49.380	3.750	France	B records early (LFI) & middle Neo (LFII) samples; LFI: samples from 4 pits (associated with different houses) were wet sieved; LFII: samples from 2 'silos' (183/187): 183 dry sieved (1 taxon only); 187: froth flotation; vols in dm3	\N	\N	\N	\N
S01235	Baume d'Oullins	\N	44.320	4.470	France	\N	\N	\N	\N	\N
S03538	Rositz	\N	51.010	12.380	Germany	\N	\N	\N	\N	\N
S11365	Fårevejle Kro; Vejle Kro	Western Sjælland	55.813	11.457	Denmark	\N	2022-12-19 14:18:52	jelena@localhost	2022-12-20 11:52:43	jelena@localhost
S04455	Rowden	\N	50.700	-2.544	Great Britain	C (p106-11) records charred remains from a pit (560); 66l were processed by flotation &  wet sieving (+soaking in peroxide); 1 list of taxa (but Moffet et al (1989) record that 23 samples were taken?); very few ID items + charcoal	\N	\N	\N	\N
S10876	Orgame	\N	44.758	28.941	Romania	\N	2022-05-04 14:20:30	jelena@localhost	2022-05-04 15:20:30	jelena@localhost
S21061	Ecser 6	\N	47.406	19.318	Hungary	\N	2025-08-29 19:06:05	natalia_riabogina@localhost	2025-08-29 19:06:05	natalia_riabogina@localhost
S10942	Isaiia-Balta Popii	Iaşi County	46.935	28.013	Romania	\N	2022-05-13 19:12:19	jelena@localhost	2023-07-26 06:47:14	jelena@localhost
S10760	Ханёв; Khanevo	\N	55.636	35.900	Russia	\N	2022-04-27 10:55:49	robert@localhost	2022-04-27 11:55:49	robert@localhost
S11240	Tjora	\N	58.915	5.596	Norway	\N	2022-09-28 16:16:51	claudia@localhost	2022-09-28 16:16:51	claudia@localhost
S11619	Dehtáře u Českých Budějovic – Šestiny	České Budějovice	49.017	14.307	Czechia / Czech Republic	\N	2023-02-22 13:41:50	jan@localhost	2023-03-07 14:45:25	jan@localhost
S03883	Stotternheim	\N	51.050	11.040	Germany	\N	\N	\N	\N	\N
S02500	LA FONTENILLE	\N	47.390	1.290	France	\N	\N	\N	\N	\N
S02315	Iwanowice	\N	50.225	19.961	Poland	potentially part of S07688 - to be verified in kruk1980a	2022-06-22 15:07:31	robert@localhost	2022-06-22 16:07:31	robert@localhost
S11218	Dagstorp SU21 - 16:1	\N	55.818	13.063	Sweden	\N	2022-09-20 13:08:25	claudia@localhost	2023-04-20 14:56:48	Rscripts@localhost
S11573	Миколина Брояка; Mikolina Broyaka	Vinnytsia region (Винницкая область)	48.162	30.883	Ukraine	Approximate location	2023-02-20 09:33:22	natalya@localhost	2023-02-20 09:33:22	natalya@localhost
S01256	Bedd Branwen	\N	53.336	-4.460	Great Britain	\N	\N	\N	\N	\N
S02858	Lourmarin Les Lauzieres	\N	43.770	5.350	France	\N	\N	\N	\N	\N
S02557	LA ROUSSILLONNE SUD	\N	43.810	4.310	France	\N	\N	\N	\N	\N
S10430	Schöckingen "Heimerdinger Weg"	\N	48.817	9.089	Germany	Google Earth: +/- 5km radius	2022-04-12 11:31:44	robert@localhost	2022-04-12 12:31:44	robert@localhost
S10679	Perlez-Batka; Перлез-Батка; Perlez-Batka "C"; Перлез-Батка "Ц"	\N	45.205	20.389	Serbia	\N	2022-04-08 16:26:25	jelena@macelab-server.biochem.ucl.ac.uk	2022-04-08 17:26:25	jelena@macelab-server.biochem.ucl.ac.uk
S01506	Ceron	\N	44.000	5.050	France	\N	\N	\N	\N	\N
S10546	Nørtorp 1	\N	57.098	8.665	Denmark	Within 3 km	2022-03-29 10:01:18	sam@localhost	2022-03-29 11:01:18	sam@localhost
S06525	North Ferriby	\N	53.714	-0.498	Great Britain	\N	\N	\N	\N	\N
S07072	Killeenagh Mountain	\N	52.054	-7.945	Ireland	\N	\N	\N	\N	\N
S08687	Hatzenbach	\N	48.430	16.210	Austria	\N	\N	\N	\N	\N
S06605	Sheshader	\N	58.224	-6.190	Great Britain	\N	\N	\N	\N	\N
S06886	Clashroe	\N	51.698	-8.435	Ireland	\N	\N	\N	\N	\N
S20967	Dobkowice 39	Jarosław	49.926	22.701	Poland	location of village, GoogleMaps	2025-02-07 11:03:34	sam@localhost	2025-02-18 09:39:03	sam@localhost
S01559	Claish Farm	Scotland	56.231	-4.204	Great Britain	a long timber-built Early Neolithic structure was excavated at this site (c. 24m x 8.5m). It was concluded that, while the structure may have been lived in, it was not a large 'farmhouse' and cannot be taken as a 'typical' settlement of the Early Neolithic in Scotland; Archaeobotany: Charred plant remains were recorded in 24 samples from post-holes, slot-trenches and internal pits. The samples were washed/processed with water, using a sieve of unknown mesh size. Cereal remains included emmer wheat, bread wheat and cf. 6-row hulled barley. Large quantities of hazelnut shell were recorded. The totals from C15 and C19 are >300 and >250 respectively. Crab-apple remains were also present in one deposit, as well as weeds in another deposit [hazel nut remains are present in all samples, all other taxa are only recorded in 6 samples; the 2 burnt pits contain the majority of remains]	\N	\N	2023-07-24 10:47:20	robert@localhost
S10197	Grapčeva; Grapčeva Špilja	Hvar	43.133	16.753	Croatia	\N	2022-04-01 10:35:25	jelena@localhost	2023-09-07 13:05:15	jan@localhost
S13060	Chultukov Log 1 barrow burial ground; Чултуков Лог	Manzherok region, Northern Altai	51.286	88.827	Russia	Found to region with GoogleMaps; within 100 km	2023-11-22 12:16:34	sam@localhost	2023-11-22 14:49:42	sam@localhost
S11557	Šventoji 9	\N	55.945	21.046	Lithuania	according to the publication pilič2012a; within 3 km	2023-02-16 13:34:18	jelena@localhost	2023-02-16 13:34:18	jelena@localhost
S02468	LA BARRAIS	\N	48.350	-1.300	France	\N	\N	\N	\N	\N
S11490	Шкаровка; Shkarovka	Kyiv region (Киевская область)	49.750	30.171	Ukraine	Approximate location	2023-02-06 12:55:20	natalya@localhost	2023-02-06 12:55:20	natalya@localhost
S11513	Бамут; Bamut	Sernovodsky District, Chechnya	43.169	45.201	Russia	location of the village and according to the publication shish2018a	2023-02-13 11:19:37	jelena@localhost	2023-02-13 11:19:37	jelena@localhost
S08884	Rente de Boube	\N	45.620	-0.960	France	\N	\N	\N	\N	\N
S20833	Camino del Molino	\N	38.100	-1.860	Spain	Location in publication	2024-11-29 11:43:21	sam@localhost	2024-11-29 11:43:21	sam@localhost
S05165	Handschuhsheim; Heidelberg-Handschuhsheim	\N	49.428	8.683	Germany	\N	\N	\N	2023-08-14 09:58:44	sam@localhost
S09116	Langenau	\N	48.497	10.122	Germany	\N	\N	\N	\N	\N
S06617	Solway Moss	\N	55.016	-3.024	Great Britain	\N	\N	\N	\N	\N
S11132	Fårtoft 6	\N	56.950	8.736	Denmark	\N	\N	\N	2022-07-05 17:04:24	claudia@localhost
S10964	Gomila Lupului; Foeni-Gomila Lupului	\N	45.526	20.872	Romania	\N	2022-05-16 14:09:24	jelena@localhost	2022-05-16 15:09:24	jelena@localhost
S20610	Vésztö-Bikeri	\N	46.926	21.253	Hungary	\N	2024-10-07 11:20:08	jan@localhost	2024-10-07 11:20:08	jan@localhost
S09177	Dresden-Mockritz	\N	51.010	13.750	Germany	\N	\N	\N	\N	\N
S09076	Deinze Aquafin	\N	50.983	3.517	Belgium	\N	\N	\N	\N	\N
S03325	Plötzkau	\N	51.740	11.680	Germany	\N	\N	\N	\N	\N
S02339	Juillac le Coq	\N	45.588	-0.261	France	\N	\N	\N	\N	\N
S11188	Sätaröd-Vä-Lokal 22; Vä 124:1	\N	55.969	14.058	Sweden	\N	2022-08-11 16:46:50	claudia@localhost	2022-10-12 14:05:19	claudia@localhost
S04289	Zürich - Bauschanze	\N	47.368	8.542	Switzerland	\N	\N	\N	\N	\N
S11397	Раевское городище; Raevskoe hillfort	Abrau peninsula, Krasnodar region (Краснодарский край)	44.862	37.511	Russia	\N	2023-01-13 10:55:48	natalya@localhost	2023-01-13 10:55:48	natalya@localhost
S20910	Moshuriv 2;  Мошурів 2	Talne Raion, Cherkasy Oblast	48.890	30.586	Ukraine	location of the village	2024-12-27 11:36:18	jelena@localhost	2024-12-27 11:36:18	jelena@localhost
S20444	Velsen	Noord-Holland Province	52.456	4.658	Netherlands	based on the publication groot2024a (not exact location)	2024-07-16 13:52:04	jelena@localhost	2024-07-16 13:52:04	jelena@localhost
S11192	Skepparslöv 7:10	\N	56.036	14.041	Sweden	\N	2022-08-16 08:54:32	claudia@localhost	2022-08-16 09:00:47	claudia@localhost
S03360	PORT PUNAY	\N	46.050	-1.080	France	\N	\N	\N	\N	\N
S08029	Kærup Bjerget; Kærup;	\N	57.092	9.016	Denmark	\N	\N	\N	2024-03-19 15:02:00	helene@localhost
S04472	Tankardstown	\N	52.404	-8.611	Ireland	\N	\N	\N	\N	\N
S07554	Potzneusiedl	\N	48.030	16.970	Austria	\N	\N	\N	\N	\N
S07206	Rathcrogue	\N	52.802	-6.879	Ireland	\N	\N	\N	\N	\N
S20961	Legland	\N	54.671	-7.418	Great Britain	Location in publication	2025-01-31 12:26:07	sam@localhost	2025-04-06 13:40:24	biad@localhost
S11978	Ясеневая поляна; Ясенева поляна; Yaseneva Polyana; Yasenevaya Polyana	Adygea Republic (Респу́блика Адыгeя)	44.485	40.388	Russia	location of the village	2023-04-03 09:18:57	jelena@localhost	2023-04-03 09:18:57	jelena@localhost
S06566	Raunds	\N	52.344	-0.569	Great Britain	\N	\N	\N	\N	\N
S01549	Chesham	\N	51.704	-0.612	Great Britain	\N	\N	\N	\N	\N
S03618	SAINT PRIEST	\N	45.700	4.917	France	\N	\N	\N	\N	\N
S03645	Salzderhelden, Heldenberg	\N	51.790	9.920	Germany	\N	\N	\N	\N	\N
S02567	LA TUILERIE	\N	47.433	6.450	France	\N	\N	\N	\N	\N
S12989	Hulterstad bysamfällighet; Hulterstad 79:1	Öland	56.443	16.565	Sweden	Swedish Sites and Monuments Record (SHM)	2023-10-17 09:45:12	sam@localhost	2023-10-17 09:45:12	sam@localhost
S20357	Voorne-Putten 10.74	Zuid-Holland Province	51.896	4.034	Netherlands	based on the publication groot2024a (not exact location)	2024-07-08 14:42:25	jelena@localhost	2024-07-16 13:44:50	jelena@localhost
S08021	Kongemose 1979; 040112-232	\N	55.582	11.548	Denmark	\N	\N	\N	2024-03-19 14:57:41	helene@localhost
S13339	Lipovci-Popava I	\N	46.625	16.226	Slovenia	location to 5the village	2024-06-13 16:39:57	jan@localhost	2024-06-13 16:39:57	jan@localhost
S03626	Saint-Alban-Montbel, Lac d'Aiguebelette	\N	45.540	5.800	France	\N	\N	\N	\N	\N
S08852	Vivoin 'Le Parc'	\N	48.243	0.164	France	the commune of Vivoin stands on the left bank of the Sarthe north of the central depression occupied by the city of Le Mans; the site is c.1km to the northwest the commune of Vivoin, just behind the farm "the Gaudin" and is 72m asl in the northern part of the interfluve between the streams de la Vigne and Orthon - tributaries of the Sarthe; the full stratigraphy of the site was recorded at the edge of the cleared area - a depth of 1.50 to 2.25m in which 5 layers were defined (Neolithic evidence in layer 2); middle Neolithic 1 occupation is characterized by the establishment of a building around which there are several pits and fireplaces (an area exhaustively searched is 3225 m2 to a thickness of between 10-15cm); Neolithic hollow structures belong to three morphological types: the posthole structures are the most numerous (42 structures) and form the floor plan of the building; 3 ovens/hearths are located around the building; and pits usually difficult to identify and date divide into two areas, three are near the building, and two others are situated to the west of the cleared area; chronology: the site of Vivoin occupies a privileged place between the Chambon group and all the regional facies of Paris Basin and Normandy atributed to the  Cerny culture; archaeobotany: only 19 postholes produced charred plant remains (the volume of sediment taken for processing varied between 10-30L - see table ); the sediments were wet-sieved through a column of two sieves with mesh sizes of 2.0 and 0.5 mm; 672 plant macrofossils all charred were identified comprising 30 taxa of which half were assigned to the species level; D-S notes that the preservation of material is extremely mediocre; the richest fills were those of the post holes (50, 48, 47, 52, 54, 61) located in the axis of the southern entrance	\N	\N	2023-04-20 15:29:13	Rscripts@localhost
S11497	Коломакское городище; Kolomak hillfort	Kharkov region (Харьковская область)	49.864	35.278	Ukraine	\N	2023-02-07 17:18:42	natalya@localhost	2023-02-07 17:18:42	natalya@localhost
S21049	Holubice	Vyškov	49.177	16.812	Czechia / Czech Republic	Aproximate location	2025-07-17 11:46:47	yuzhen_li@localhost	2025-07-17 11:46:47	yuzhen_li@localhost
S01564	CLOS DE POUJOL	\N	44.400	3.060	France	\N	\N	\N	\N	\N
S05090	Coolfore	\N	54.004	-6.760	Ireland	\N	\N	\N	2023-04-20 14:05:31	Rscripts@localhost
S11282	Gustavstorpsvägen; Mörrum 239, 240 & 241	Blekinge	56.171	14.679	Sweden	\N	2022-11-22 09:59:30	jelena@localhost	2023-02-27 13:19:29	jelena@localhost
S12053	На острове Шулаевом; Shulaev Island; Shulaiv Island	Dnipropetrovsk Region (Дніпропетровська область)	48.310	35.147	Ukraine	assumed location; the island was in the vicinity of the village of Volos'ke (Волоське, Валашское)	2023-04-13 12:57:59	jelena@localhost	2023-10-16 13:10:13	jelena@localhost
S20797	Toftum; 160508-74	Jutland	55.896	9.991	Denmark	Location of the village	\N	alice_revill@localhost	2024-11-21 15:19:48	alice_revill@localhost
S10684	Reina Amàlia	\N	41.385	2.173	Spain	\N	2022-04-08 13:50:10	maria@localhost	2022-04-08 14:50:10	maria@localhost
S12516	Кабардинка 2; Kabardinka 2	Kabardino-Balkaria (Кабардино-Балкария)	43.778	42.632	Russia	Approximate location	2023-06-01 16:50:35	natalya@localhost	2023-06-01 16:50:35	natalya@localhost
S11413	Stenderup Hage; 401513c-1	Funen	55.460	9.694	Denmark	\N	2023-01-18 12:10:50	robert@localhost	2024-03-15 13:30:33	helene@localhost
S11178	Skrivarhelleren	\N	61.283	7.930	Norway	\N	\N	\N	2022-08-05 18:33:38	claudia@localhost
S02542	La Poujade	\N	44.120	3.180	France	\N	\N	\N	\N	\N
S10507	Tuchomyšl	\N	50.699	13.940	Czechia / Czech Republic	location: bickl2013a	2022-03-14 17:35:51	robert@localhost	2022-03-14 17:35:51	robert@localhost
S01512	Cham - Eslen	\N	47.178	8.460	Switzerland	\N	\N	\N	\N	\N
S07112	Leap	\N	52.896	-7.488	Ireland	\N	\N	\N	\N	\N
S20695	Sándorfalva‐Eperjes	\N	46.347	20.157	Hungary	\N	2024-10-17 17:52:08	jan@localhost	2024-10-17 17:52:08	jan@localhost
S10566	Næsby	\N	56.906	9.194	Denmark	Within 7 km	2022-03-29 10:01:18	sam@localhost	2023-04-20 14:44:13	Rscripts@localhost
S12238	Les Vignarets (Upie-26)	Auvergne-Rhône-Alpes	44.897	5.212	France	\N	2023-05-01 16:10:00	lea@localhost	2024-08-12 17:58:40	fredrik@localhost
S11881	Луговое; Lugovoe	Kharkov region (Харьковская область)	48.669	36.657	Ukraine	Approximate location	2023-03-24 13:51:16	natalya@localhost	2023-03-24 13:51:16	natalya@localhost
S01725	DOLMEN DE CHATEAU BU	\N	47.817	-1.950	France	\N	\N	\N	\N	\N
S08432	Sclaigneaux	\N	50.483	5.017	Belgium	\N	\N	\N	\N	\N
S10808	Gumelnița	\N	44.083	26.333	Romania	\N	2022-04-28 18:33:54	jelena@localhost	2023-06-16 18:25:51	jan@localhost
S11026	Mikulovice u Pardubic - V loučkách	Pardubice	49.992	15.776	Czechia / Czech Republic	\N	2022-05-27 09:33:05	robert@localhost	2023-01-19 14:36:28	jan@localhost
S13149	Gălăbovo; Assara	\N	42.117	25.833	Bulgaria	\N	2024-02-19 12:59:53	jan@localhost	2024-02-19 12:59:53	jan@localhost
S07466	Kleinzerbst	\N	51.817	12.050	Germany	\N	\N	\N	\N	\N
S03037	Montingny, La Maison Rouge	\N	48.110	2.110	France	\N	\N	\N	\N	\N
S10244	Bustrup; 131006-22	\N	56.594	8.805	Denmark	\N	2022-01-25 10:57:15	sam@localhost	2022-01-25 10:57:15	sam@localhost
S11752	Mohelno – Mohelno-Plevovce	Třebíč	49.105	16.151	Czechia / Czech Republic	\N	2023-02-27 15:13:05	jan@localhost	2023-03-07 14:45:25	jan@localhost
S07990	Kainsbakke	\N	56.433	10.789	Denmark	\N	\N	\N	2023-09-11 17:58:25	natalya@localhost
S20811	Los Berrocales	\N	40.370	-3.570	Spain	Location in publication	2024-11-29 11:43:21	sam@localhost	2024-11-29 11:43:21	sam@localhost
S01217	Barleben	\N	52.200	11.610	Germany	\N	\N	\N	\N	\N
S09084	einbeck-druber	\N	51.760	9.929	Germany	\N	\N	\N	\N	\N
S07164	Moyveela	\N	53.263	-8.838	Ireland	\N	\N	\N	\N	\N
S12115	Havsteinen, Herøy	Nordland	66.167	12.383	Norway	\N	2023-04-27 13:45:48	sam@localhost	2023-04-27 13:45:48	sam@localhost
S08169	Stora Bjers; Stora Bjärs	Gotland	57.817	18.533	Sweden	\N	\N	\N	2023-02-27 13:48:33	jelena@localhost
S08924	Södra Mårtensbo	\N	60.660	17.310	Sweden	\N	\N	\N	\N	\N
S07426	Melk-Winden	\N	48.220	15.310	Austria	\N	\N	\N	\N	\N
S11004	Rotbav	\N	45.839	25.558	Romania	\N	2022-05-17 14:40:22	jelena@localhost	2023-06-16 18:26:15	jan@localhost
S02636	LE CHEVAL	\N	43.933	4.350	France	\N	\N	\N	\N	\N
S07692	Jastrzebia Góra 4	\N	54.830	18.310	Poland	\N	\N	\N	\N	\N
S02360	Kärlich	\N	50.380	7.490	Germany	\N	\N	\N	\N	\N
S06155	Rottenburg-Siebenlinden I	\N	48.479	8.952	Germany	\N	\N	\N	\N	\N
S07636	Lapszów	\N	50.183	20.550	Poland	\N	\N	\N	\N	\N
S08750	Šídelník III	\N	50.570	14.520	Czechia / Czech Republic	\N	\N	\N	\N	\N
S02178	Hallehög	\N	57.380	11.990	Sweden	\N	\N	\N	\N	\N
S20584	Font-Rase	Charente	45.486	-0.138	France	\N	2024-09-27 15:36:53	alice_revill@localhost	2024-09-27 15:36:53	alice_revill@localhost
S09173	Gortore 1b	\N	52.166	-8.267	Ireland	Early Bronze Age remains were recorded in Areas 1 and 3 at Site 1b; area 1 contained an Early Bronze Age structure (Structure 1); although the structure had the appearance of an Early Neolithic rectangular structure, two 14C dates indicated that it belonged to the Early Bronze Age period; it should be noted, however, that Early Neolithic ceramics were recorded in a deposit associated with the structure; area 3 at this site contained Early Bronze Age pits and post-holes; Late Mesolithic pits, Middle Neolithic pits and an early medieval drying kiln were located nearby; excavation licence number: E2410, A040.; Archaeobotany EBA: charred plant remains were recorded in five samples from the Early Bronze Age structure in Area 1 and features in Area 3; the samples were washed/processed with water, using a sieve of 0.25 mm mesh size.; hazelnut shell fragments and barley grains were recorded.; LM: charred plant remains were recorded in 21 samples from Late Mesolithic pits at the site; the samples were washed/processed with water, using a sieve of 0.25 mm mesh size; hazelnut shell was found in large quantities; occasional seeds from other wild plants were also present; cereal remains were found in two pit fills, but are likely to represent later activity [Note from SC: I have not entered these taxa in the db] - both of these pits produced Late Mesolithic 14C dates but also contained Neolithic lithics.	\N	\N	\N	\N
S10850	Sajószentpéter-vasúti örhaz	\N	48.224	20.708	Hungary	\N	2022-05-02 11:31:41	sam@localhost	2024-11-13 14:40:54	jan@localhost
S11973	Villa Filomena	Valencia	39.954	-0.093	Spain	\N	2023-03-29 16:53:19	lea@localhost	2023-04-20 15:03:05	Rscripts@localhost
S04498	Wanlo	\N	51.100	6.400	Germany	K (p7-20) records charred taxa in 41 samples/36 pits (in the text he states 47 were examined); 3-5dm3 were sampled & subsamples of 0.2-0.4dm3 were taken for initial investigation (+> if needed); 2 samples had no ID remains (166&201) 2 very rich = 1&188	\N	\N	\N	\N
S11963	Peñón de la Zorra	Valencia	38.679	-0.862	Spain	\N	2023-03-29 16:53:19	lea@localhost	2023-03-29 16:53:19	lea@localhost
S06850	Caltragh	\N	54.271	-8.472	Ireland	\N	\N	\N	\N	\N
S08031	Kvisljungeby	\N	57.750	11.833	Sweden	\N	\N	\N	\N	\N
S13076	Autoput E-70, P2 sever (3); Аутопут Е-70, П2 север (3)	\N	44.999	19.666	Serbia	\N	2024-01-11 11:16:13	jan@localhost	2024-01-11 11:16:13	jan@localhost
S03112	Newbie Cottage	\N	54.974	-3.305	Great Britain	\N	\N	\N	\N	\N
S11627	Jetřichovice u Děčína – Dvě věže	Děčín	50.893	14.361	Czechia / Czech Republic	\N	2023-02-22 13:49:42	jan@localhost	2023-03-07 14:45:25	jan@localhost
S13259	Alba Iulia	\N	46.066	23.570	Romania	Approximate location	2024-04-23 17:23:55	natalya@localhost	2024-04-23 17:23:55	natalya@localhost
S03066	Multiphase site	\N	53.304	-4.684	Great Britain	\N	\N	\N	\N	\N
S08110	Refshøjgård I	\N	56.241	10.025	Denmark	\N	\N	\N	\N	\N
S06306	Craigna Feich	\N	58.371	-3.405	Great Britain	\N	\N	\N	\N	\N
S12808	Špiler; Špiler-Libna	\N	45.953	15.528	Slovenia	location of the town	2024-03-21 13:26:57	jelena@localhost	2024-03-21 13:26:57	jelena@localhost
S10504	Praha-Vokovice	\N	50.099	14.345	Czechia / Czech Republic	location: bickl2013a	2022-03-14 17:35:51	robert@localhost	2022-03-14 17:35:51	robert@localhost
S03215	Ossom's Cave	\N	53.083	-1.850	Great Britain	\N	\N	\N	\N	\N
S12535	Nikolaevka III	Volga	53.092	50.315	Russia	Coordinates listed publication	2023-06-13 11:05:18	sam@localhost	2023-06-13 11:05:18	sam@localhost
S10848	Polgár-Piócási-Dűlő	\N	47.866	21.116	Hungary	Within 12 km	2022-05-02 11:31:41	sam@localhost	2022-05-02 12:31:41	sam@localhost
S10359	Črešnja pri Bistri	\N	45.941	14.340	Slovenia	\N	2022-03-03 10:31:49	claudia@localhost	2022-03-03 10:31:49	claudia@localhost
S02224	Hembury	\N	50.820	-3.260	Great Britain	\N	\N	\N	\N	\N
